技能名,属性,类型,威力,耗能,效果描述
锐利眼神,普通,状态,0,2,敌方获得物防和魔防-120%。
阻断,普通,魔攻,80,2,造成魔伤，应对状态：额外打断被应对技能。
风矢,翼,物攻,80,2,对敌方精灵造成物理伤害。
龙之利爪,龙,物攻,130,3,蓄力，造成物伤并吸血50%。
龙卷风,翼,物攻,70,5,造成物伤，迅捷，应对状态：本次技能威力变为1.5倍。
拍击,普通,魔攻,65,1,对敌方精灵造成魔法伤害。
甩水,水,魔攻,30,0,造成魔伤，自己回复1能量。
水泡盾,水,防御,0,2,减伤80%，应对攻击：自己获得魔攻+70%。
水炮,水,魔攻,110,5,造成魔伤，每次使用后，本技能能耗永久-1。
洗礼,水,状态,0,1,驱散自己的减益，并获得全技能能耗-1。
泡沫幻影,水,防御,0,2,减伤80%，应对攻击：自己脱离。
涌泉,水,魔攻,60,6,造成魔伤，本技能能耗每-1，威力+10。
落雨,水,状态,0,5,将天气改为雨天，持续8回合。
潮汐,水,防御,0,4,减伤60%，应对攻击：自己获得1层湿润印记。
防反,普通,防御,0,2,减伤60%，应对攻击：自己获得物攻和魔攻+40%。
等价交换,恶,防御,0,3,减伤90%，应对攻击：自己获得50%吸血。
集中,电,防御,0,2,减伤80%，应对攻击：自己回合结束返场。
反击拳,武,物攻,25,2,造成物伤，2连击，若后手攻击，改为3连击。
火焰护盾,火,防御,0,2,减伤70%，应对攻击：敌方获得6层灼烧。
虚化,幽,防御,0,2,减伤80%，应对攻击：自己获得魔防+70%。
蜡质膜,草,防御,0,2,减伤80%，应对攻击：回复3能量。
雪替身,冰,防御,0,2,减伤70%，应对攻击：回复能量，回复值等于被应对技能能耗的2倍。
掩护,虫,防御,0,2,减伤70%，紧急脱离，应对攻击：下个入场精灵获得减伤。
冥想,幻,防御,0,3,减伤80%，应对攻击：敌方获得2层星陨印记。
淤泥表皮,地,防御,0,2,减伤80%，应对攻击：敌方获得连击数-3。
水弹枪,水,魔攻,80,2,对敌方精灵造成魔法伤害。
羽翼庇护,翼,防御,0,3,减伤70%，应对攻击：自己获得连击数+3。
冰墙,冰,防御,0,2,减伤80%，应对攻击：敌方获得2层冻结。
冰天雪地,冰,防御,0,2,减伤80%，应对攻击：被应对技能能耗+3。
吓退,普通,防御,0,2,减伤60%，应对攻击：敌方脱离。
嗜痛,普通,防御,0,2,减伤80%，应对攻击：期间自己每次受到伤害，获得双攻+40%。
多维击打,幻,魔攻,15,4,造成魔伤，1连击，敌方每有1层星陨印记，本次技能连击数+1。
水波术,水,魔攻,90,6,造成魔伤，回合结束时，本技能威力永久+20。
突袭,普通,魔攻,70,2,造成魔伤，应对状态：本次技能威力变为3倍。
速冻,冰,状态,0,4,敌方获得2层减速印记。
魔能爆,普通,魔攻,1,0,造成魔伤，使用时消耗所有能量，消耗越高，伤害越高。
旋转突击,普通,物攻,35,3,造成物伤，3连击。
咆哮,普通,状态,0,1,敌方获得物攻-130%。
见招拆招,普通,物攻,65,2,造成物伤，若上回合使用状态技能，本次技能威力+55。
伺机而动,普通,状态,0,1,下一次攻击时，技能威力+70。
热身运动,普通,状态,0,2,自己获得连击数+3。
吨位压制,普通,物攻,0,3,造成物伤，敌方体重越低，威力越高。
快速移动,普通,状态,0,1,自己获得速度+80，应对防御：改为速度+160。
三连破,普通,状态,0,1,自己获得物攻+30%，3连击。
主场优势,普通,状态,0,3,自己获得1层攻击印记。
冲撞,普通,物攻,135,7,造成物伤，回合结束时，本技能能耗永久-1。
提气,武,状态,0,4,自己获得全技能威力+40，若敌方本回合更换精灵，额外获得威力+50。
破绽,武,状态,0,1,敌方获得双防-70%，应对防御：自己额外获得物攻+70%。
飞羽,翼,状态,0,0,迅捷，驱散敌方1种增益。
音波弹,普通,魔攻,60,1,造成魔伤，1连击。
许愿星,普通,魔攻,110,3,对敌方精灵造成魔法伤害。
蓄能轰击,普通,魔攻,130,6,造成魔伤，每使用1次普通系技能，本技能能耗永久-2。
鼓劲,普通,状态,0,3,自己获得魔防+170%。
加固,普通,状态,0,2,自己获得物防+140%。
回旋风暴,翼,魔攻,100,3,对敌方精灵造成魔法伤害。
气波,武,魔攻,40,0,对敌方精灵造成魔法伤害。
翼击,翼,魔攻,50,3,造成魔伤，迅捷。
肥皂泡,水,魔攻,60,1,对敌方精灵造成魔法伤害。
后发制人,普通,物攻,155,3,造成物理伤害，先手-1。
水光冲击,水,魔攻,140,5,对敌方精灵造成魔法伤害。
水环,水,防御,0,2,减伤60%，应对攻击：自己获得全技能能耗-2。
贯手,武,魔攻,80,2,对敌方精灵造成魔法伤害。
风墙,翼,防御,0,2,减伤50%，迅捷，应对攻击。
叠势,武,魔攻,25,3,造成魔伤，2连击，每成功应对1次，本技能连击数永久+2。
无畏之心,普通,防御,0,5,减伤100%，应对攻击：减免的伤害变为回复自己生命，且本技能能耗永久+2。
硬门,武,防御,0,2,应对攻击：打断被应对技能，并造成90威力物伤。
防御反击,武,防御,0,3,减伤80%，应对攻击：自己获得全技能威力+40。
虚假破产,恶,防御,0,2,减伤80%，能量不足时，消耗5%生命代替1能量，应对攻击。
降灵,幽,状态,0,2,敌方获得1层降灵印记。
撕咬,恶,物攻,30,3,造成物伤，3连击，若自己的生命低于50%，本次技能连击数+2。
恶作剧,幽,状态,0,1,敌方失去3能量，应对防御：改为敌方失去6能量。
极限撕裂,恶,物攻,135,4,造成物伤，若生命高于50%，使用后自己获得双攻-50%。
恶意逃离,恶,状态,0,1,脱离，应对防御：额外使敌方攻击技能能耗+4。
坟场搏击,幽,物攻,180,4,造成物伤，敌方每有1能量，本次技能威力-10%。
伪造账单,恶,状态,0,1,若敌方本回合回复生命，改为失去2倍。先手+1。
富养化,草,状态,0,3,为场下每个精灵回复3能量。
报复,幽,防御,0,2,减伤70%，应对攻击：敌方失去3能量。
暗箱操作,恶,状态,0,1,自己获得双攻和双防-100%，应对防御：改为敌方获得双攻和双防-100%。
欺诈契约,恶,状态,0,3,与敌方交换增益和减益。
聒噪,普通,状态,0,3,敌方获得全攻击技能能耗+3，持续3回合。
芳香诱引,草,状态,0,1,自己获得连击数+3，应对防御：额外造成打断，且敌方下回合获得眩晕。
隐藏条款,恶,状态,0,8,与敌方交换携带的技能。
啄击,翼,物攻,15,0,造成物伤，2连击。
先发制人,普通,物攻,55,2,造成物理伤害，先手+1。
闪击,翼,物攻,60,4,造成物伤，速度比敌方越高，本次技能威力越高。
风起,翼,状态,0,4,自己获得1层风起印记。
俯冲猛击,翼,物攻,140,5,对敌方精灵造成物理伤害。
羽刃,翼,物攻,75,2,造成物伤，应对状态：回合结束使敌方紧急脱离。
以重制重,普通,物攻,0,3,造成物伤，敌方体重越高，本次技能威力越高。
偷袭,普通,物攻,85,3,造成物伤，应对状态：本次技能威力变为3倍。
冰雹,冰,物攻,105,4,造成物伤，应对状态：额外使敌方获得全技能能耗+3。
水刃,水,物攻,115,4,造成物伤，应对状态：本技能能耗永久-4。
水幕冲击,水,物攻,100,3,对敌方精灵造成物理伤害。
疾风刺,翼,物攻,25,2,造成物伤，1连击，若先于敌方攻击，改为3连击。
鬼火,幽,魔攻,30,0,造成魔伤，自己回复1能量。
种子弹,草,物攻,30,0,造成物伤，自己回复1能量。
汲取,草,魔攻,30,1,造成魔伤，并吸血100%。
嘲弄,幽,状态,0,2,自己获得魔攻+90%，若敌方本回合更换精灵，自己获得速度+70。
灵光,幽,魔攻,25,3,造成魔伤，3连击，若敌方本回合更换精灵，本次技能连击数翻倍。
惊吓盒子,幽,物攻,80,3,造成物伤，应对状态：使敌方失去6能量。
不可接触,毒,防御,0,1,减伤50%，敌方每有1层中毒效果，本技能减伤+10%，应对攻击。
取念,普通,状态,0,0,每回合随机变成敌方任意精灵的技能，且该技能能耗-2。
孢子爆散,草,物攻,30,3,造成物伤，1连击，每次使用后，本技能连击数永久+2。
穿膛,普通,物攻,65,2,造成物伤，若敌方能量小于等于2，造成5倍伤害。
能量炮,普通,魔攻,50,3,造成魔伤，2连击。
血气,普通,防御,0,2,减伤60%，应对攻击：本回合受到致命伤害时，保留1生命值。
连续毒针,毒,物攻,15,2,造成物伤，2连击，每次连击使敌方获得1层中毒。
泥巴喷射,地,魔攻,60,1,对敌方精灵造成魔法伤害。
石肤术,地,状态,0,3,自己获得物防+160%和魔防-60%。
钧势,地,状态,0,3,自己获得物防+140%和速度-30。
落石,地,物攻,55,1,造成物伤，1连击。
硬化,地,防御,0,2,减伤90%，若上次使用攻击技则本技能能耗-2，应对攻击。
陨石,地,魔攻,100,3,对敌方精灵造成魔法伤害。
石锁,地,物攻,50,3,造成物伤，敌方3回合无法更换精灵。
遁地,地,防御,0,3,减伤50%并脱离，应对攻击。
岩土暴击,地,物攻,140,8,造成物伤，每被攻击1次。本技能能耗永久-1。
地陷,地,物攻,80,5,造成物伤，自己获得物防+70%，应对状态：本次技能威力翻倍，且物防额外+70%。
刺盾,地,防御,0,2,减伤70%，应对攻击：敌方获得物攻-70%。
不动如山,地,防御,0,2,减伤90%，应对攻击。
地刺,地,物攻,95,3,造成物伤，应对状态：额外打断被应对技能。
捧杀,萌,防御,0,4,减伤90%，应对攻击：敌方获得1层萌化。
棘刺,普通,状态,0,2,敌方获得1层棘刺印记。
砂糖弹球,萌,物攻,0,2,造成物伤，双方体重差越大，本次技能威力越高。
岩脉崩毁,地,物攻,120,4,造成物伤，本技能能耗固定为4。
蓄势待发,地,状态,0,4,自己获得1层蓄势印记。
壁垒,地,防御,0,2,减伤90%，应对攻击：防御技能冷却-1。
砂石冲撞,地,物攻,80,3,造成物伤，若敌方本回合更换精灵，自己获得物防+100%。
地震,地,物攻,190,10,对敌方精灵造成物理伤害。
沙涌,地,状态,0,7,将天气改为沙暴，持续8回合。
诡刺,幽,物攻,40,0,对敌方精灵造成物理伤害。
魔爪,恶,物攻,30,0,造成物伤，自己回复1能量。
趁火打劫,恶,物攻,35,3,造成物伤，2连击，若击败敌方，本技能连击数永久+2。
乘胜追击,普通,物攻,40,2,造成物伤，1连击，每次使用后，本技能连击数永久+1。
彼岸之手,恶,物攻,150,10,造成物伤，自己每失去10%生命，本技能能耗-1。
撕裂,恶,物攻,85,3,造成物伤，应对状态：本次攻击吸血100%。
蛰针,虫,物攻,40,0,对敌方精灵造成物理伤害。
虫茧,虫,状态,0,1,自己回复20%生命，己方队伍获得1次奉献：获得10%吸血。
捆缚,虫,状态,0,2,敌方获得2层中毒，获得1次奉献：敌方获得2层中毒。
虫刺,虫,魔攻,15,1,造成魔伤，3连击。
生日蛋糕,萌,状态,0,4,驱散自己的减益，自己的增益翻倍。
食腐,虫,状态,0,2,驱散敌方印记，每层印记回复自己10%生命。
超级糖果,萌,物攻,100,3,造成物伤，自己获得萌化：本次技能威力+60。
虫蛊,虫,魔攻,100,3,对敌方精灵造成魔法伤害。
爆米花爆破,萌,物攻,140,5,对敌方精灵造成物理伤害。
打鼾,普通,魔攻,165,6,对敌方精灵造成魔法伤害。
尾后针,虫,物攻,80,2,对敌方精灵造成物理伤害。
飞吻,萌,魔攻,80,2,对敌方精灵造成魔法伤害。
反弹,萌,状态,0,4,将自己的萌化转移给敌方。
操控,普通,状态,0,1,敌方本回合使用的技能能耗+7，持续3回合。
激怒,普通,状态,0,3,敌方除本回合使用的技能，其他技能能耗+3，持续3回合。
破罐破摔,萌,魔攻,80,3,造成魔伤，自己有减益时，本次技能威力+60。
退化,普通,状态,0,2,敌方获得1层萌化。
鸣叫,翼,魔攻,40,0,对敌方精灵造成魔法伤害。
聚盐,草,状态,0,3,2连击，每次连击自己回复5%生命和1能量，使用后本技能连击数永久+1。
刺藤,草,物攻,45,3,造成物伤，2连击。
根吸收,草,状态,0,2,自己回复15%生命和4能量。
幽灵爆发,幽,魔攻,140,5,对敌方精灵造成魔法伤害。
彗星,普通,魔攻,240,0,造成魔伤，每失去5%生命，本次技能威力-10，使用后消耗全部生命。
午夜噪音,幽,魔攻,20,4,造成魔伤，5连击。
掠夺,恶,魔攻,60,1,对敌方精灵造成魔法伤害。
落星,普通,物攻,45,0,对敌方精灵造成物理伤害。
水弹,水,魔攻,40,0,对敌方精灵造成魔法伤害。
践踏,普通,物攻,130,4,对敌方精灵造成物理伤害。
连续爪击,普通,物攻,30,2,造成物伤，2连击，应对状态：本次技能连击数翻倍。
吞噬,普通,物攻,150,6,造成物伤，若使用本技能击败敌方，回复6能量。
触底强击,普通,魔攻,65,3,造成魔伤，使用后若能量耗尽，本次技能威力+110。
震击,地,物攻,80,3,造成伤害，敌方获得连击数-3。
脉冲光线,光,魔攻,40,0,对敌方精灵造成魔法伤害。
泥浆,地,魔攻,40,0,对敌方精灵造成魔法伤害。
镜像反射,光,防御,0,1,减伤70%，应对攻击：本技能变为被应对的技能。
耀眼,普通,状态,0,1,敌方获得连击数-4。
逆袭,普通,物攻,100,3,造成物伤，本技能能耗每+1，威力+50。
顶端优势,草,物攻,100,3,对敌方精灵造成物理伤害。
花炮,草,状态,0,2,2连击，每次连击自己获得魔攻+60%。
流沙,地,状态,0,2,敌方3回合无法更换精灵，应对防御：敌方获得双防-60%。
天旋地转,普通,物攻,60,3,造成物理伤害，先手+1，迸发：本次技能威力+30。
垂死反击,普通,物攻,80,4,造成物伤，自己每失去5%生命，本次技能威力+5。
虫击,虫,物攻,90,3,造成物伤，应对状态：本次技能威力变为2倍，无视敌方系别抵抗。
虫群智慧,虫,状态,0,3,己方队伍获得2次随机奉献。
流星火雨,火,物攻,75,3,造成物伤，每次击败敌方，本技能威力永久+75。
当头棒喝,普通,物攻,80,3,造成物伤，若敌方本回合更换精灵，本次技能威力+100。
焚烧烙印,火,状态,0,3,驱散双方所有印记，每驱散1层，敌方获得5层灼烧。
高温回火,火,魔攻,40,2,造成魔伤，自己脱离。
灼伤,火,物攻,120,4,对敌方精灵造成物理伤害。
导电撞击,电,物攻,40,0,对敌方精灵造成物理伤害。
跌落,恶,物攻,120,3,造成大量物伤，自己获得物攻-50%，应对状态：改为获得物攻+50%。
过载回路,电,状态,0,1,回合结束自己返场，下回合所选技能使用次数+1。
气势一击,普通,物攻,80,3,造成物伤，若上回合应对成功，本次技能威力+180。
寸拳,武,物攻,30,0,造成物伤，自己回复1能量。
影袭,武,物攻,100,3,对敌方精灵造成物理伤害。
追打,普通,魔攻,75,3,造成魔伤，1连击，应对状态：本技能变为3连击。
音爆,普通,魔攻,130,4,对敌方精灵造成魔法伤害。
毒泡泡,毒,魔攻,40,0,对敌方精灵造成魔法伤害。
以毒攻毒,毒,状态,0,1,敌方每有1层中毒效果，自己获得魔攻+30%。
疫病吐息,毒,状态,0,3,敌方获得1层中毒印记。
落井下毒,毒,状态,0,6,使敌方精灵减益的层数翻倍。
毒雾,毒,状态,0,7,将敌方所有增益，转化成中毒。
毒液渗透,毒,魔攻,120,5,造成魔伤，敌方每有1层中毒效果，本技能能耗-1，敌方获得1层中毒。
易燃物质,火,魔攻,30,3,造成魔伤，2连击，每次连击使敌方获得2层灼烧。
炎枪,火,魔攻,100,3,对敌方精灵造成魔法伤害。
轴承支撑,机械,状态,0,3,主动：本技能被动额外-1能耗，被动：两侧技能能耗-1，传动1。
背袭,幽,魔攻,40,2,造成魔伤，若敌方能量等于0，造成20倍伤害。
恐吓,幽,魔攻,80,2,对敌方精灵造成魔法伤害。
流火,火,魔攻,15,1,造成魔伤，3连击。
黑手,恶,魔攻,45,3,造成魔伤，2连击。
埋伏,普通,魔攻,30,4,造成魔伤，3连击，若敌方本回合更换精灵，本次技能连击数+3。
撒娇,萌,魔攻,30,3,造成魔伤，3连击。自己获得萌化：威力永久+20。
光之矛,光,物攻,30,3,造成物伤，3连击。
迫近攻击,普通,物攻,90,3,造成物伤。每次使用后，本技能威力永久+45。
虫鸣,虫,魔攻,15,2,造成魔伤，队伍中的精灵每携带1个虫鸣，本次技能连击数+1。
飞断,虫,物攻,20,1,造成物伤，己方队伍获得1次奉献：威力+20。
针刺射击,草,物攻,80,3,造成物伤，若敌方本回合更换精灵，自己回复7点能量。
预备势,武,状态,0,1,自己获得物攻+80%，应对防御：额外使敌方获得物防-80%。
远程访问,电,状态,0,2,使敌方精灵返场。
感电,电,魔攻,60,2,造成魔伤，每离场1次，本技能使用次数永久+1。
电离爆破,电,状态,0,3,敌方获得速度-40，3连击。
落雷,电,魔攻,100,4,造成魔伤，每次入场，本技能威力永久+20。
闪击折返,电,物攻,45,5,造成物伤，2连击，自己脱离。
电磁偏转,电,防御,0,3,减伤70%，应对攻击：下回合所选技能使用次数+1。
强制重启,电,魔攻,90,3,造成魔伤，应对状态：回合结束时使敌方精灵返场。
触电,电,魔攻,80,2,对敌方精灵造成魔法伤害。
双联脉冲,电,魔攻,50,4,造成魔伤，迸发：本技能使用次数+1。
月光合奏,萌,物攻,30,3,造成物伤，1连击，双方携带的所有精灵每有1层萌化，本次技能连击数+1。
示弱,萌,状态,0,1,自己获得萌化：速度永久+150。
倾泻,普通,魔攻,70,3,造成魔伤，若本次攻击未被防御技能应对，则驱散双方所有印记。
感染病,毒,魔攻,85,4,造成魔伤，若击败敌方则将中毒转化为中毒印记。
气沉丹田,武,状态,0,10,自己回复60%生命，获得物攻+130%，每次应对后本技能能耗-3，使用后能耗重置。
回旋踢,武,物攻,80,3,造成物伤，若敌方本回合更换精灵，本次技能威力翻倍。
斩断,武,物攻,75,2,造成物伤，应对状态：额外打断被应对技能。
技巧打击,武,物攻,35,2,造成物伤，应对状态：本次技能威力变为10倍。
一拳,武,物攻,140,5,对敌方精灵造成物理伤害。
爆冲,武,物攻,65,3,造成物伤，应对状态：本次技能威力变为5倍。
能量刃,普通,物攻,80,3,造成物伤，每应对成功1次，本技能威力永久+90。
雪球,冰,状态,0,1,敌方获得速度-90。
盐水浴,水,状态,0,2,自己获得全技能能耗-2，应对防御：改为技能能耗-3。
打湿,水,状态,0,4,自己获得1层湿润印记。
湮灭,普通,魔攻,155,5,对敌方精灵造成魔法伤害。
击鼓传花,萌,状态,0,3,自己脱离，下个入场精灵继承自己增益。
磁干扰,电,魔攻,60,1,对敌方精灵造成魔法伤害。
火爪,火,魔攻,60,1,对敌方精灵造成魔法伤害。
针状物,幻,魔攻,30,3,造成魔伤，3连击。
离子火花,电,物攻,80,2,对敌方精灵造成物理伤害。
交叉闪电,电,物攻,100,3,对敌方精灵造成物理伤害。
雷暴,电,魔攻,55,1,造成魔伤，迸发：本技能获得所有生效过的迸发，每获得1种，本技能能耗+1，威力+10。
虫网,虫,魔攻,30,0,造成魔伤，自己回复1能量。
草虫冲击,虫,物攻,80,3,造成物伤，若敌方本回合更换精灵，本次威力+50且无视敌方系别抵抗。
虫群过境,虫,物攻,45,5,造成物伤，2连击。己方队伍获得1次奉献：获得连击数+1。
虫群,虫,物攻,20,7,造成物伤，1连击，本技能会受奉献影响。
翅刃,虫,物攻,95,4,造成物伤，驱散敌方所有印记，应对状态：改为偷取印记。
鸩毒,毒,魔攻,75,3,造成魔伤，敌方每有1层中毒效果，本次技能威力+10，应对状态：改为本次威力+20。
蝙蝠,恶,物攻,65,2,造成物伤，并吸血100%。
风隐,翼,状态,0,1,敌方和自己均脱离，先手-1。
水花四溅,水,魔攻,20,3,造成魔伤，4连击。
迫害,恶,物攻,40,0,对敌方精灵造成物理伤害。
栽赃,恶,魔攻,150,6,对敌方精灵造成魔法伤害。
灾厄,恶,物攻,150,1,对自己造成物伤，应对状态：改为对敌方造成物伤。
心灵洞悉,幻,状态,0,7,敌方获得星陨印记，获得层数等于敌方印记层数。
二律背反,幻,状态,0,4,敌方获得3层星陨印记，应对防御：额外使敌方星陨印记层数翻倍。
星轨裂变,幻,状态,0,1,敌方获得2层星陨印记。
抛石,地,物攻,140,30,造成物伤，回合结束时，本技能能耗永久-5。
裂石,地,物攻,95,3,造成物伤，应对状态：敌方获得物防-80%。
双星,幻,物攻,100,3,对敌方精灵造成物理伤害。
大爆炸,幻,魔攻,100,3,对敌方精灵造成魔法伤害。
暴风眼,翼,状态,0,2,行动时连击数+100%。
